           0         1        2         3         4         5         6
0   1.945910  0.000000  0.00000  0.000000  0.000000  0.000000  0.000000
1   1.252763  0.000000  0.00000  1.252763  0.000000  0.000000  0.000000
2   0.000000  1.252763  0.00000  1.252763  0.000000  0.000000  0.000000
3   0.000000  1.945910  0.00000  0.000000  0.000000  0.000000  0.000000
4   0.000000  1.945910  0.00000  0.000000  0.000000  0.000000  0.000000
5   0.000000  1.945910  0.00000  0.000000  0.000000  0.000000  0.000000
6   0.000000  0.000000  1.94591  0.000000  0.000000  0.000000  0.000000
7   0.000000  0.000000  1.94591  0.000000  0.000000  0.000000  0.000000
8   0.000000  0.000000  1.94591  0.000000  0.000000  0.000000  0.000000
9   0.000000  0.000000  1.94591  0.000000  0.000000  0.000000  0.000000
10  0.000000  0.000000  0.00000  1.945910  0.000000  0.000000  0.000000
11  0.000000  0.000000  0.00000  1.945910  0.000000  0.000000  0.000000
12  0.000000  0.000000  0.00000  1.945910  0.000000  0.000000  0.000000
13  0.000000  0.000000  0.00000  1.945910  0.000000  0.000000  0.000000
14  0.000000  0.000000  0.00000  0.000000  1.252763  1.252763  0.000000
15  0.000000  0.000000  0.00000  0.000000  1.945910  0.000000  0.000000
16  0.000000  0.000000  0.00000  0.000000  1.945910  0.000000  0.000000
17  0.000000  0.000000  0.00000  0.000000  1.945910  0.000000  0.000000
18  0.000000  0.000000  0.00000  0.000000  1.945910  0.000000  0.000000
19  0.000000  0.000000  0.00000  0.000000  0.000000  1.945910  0.000000
20  0.000000  0.000000  0.00000  0.000000  0.000000  1.945910  0.000000
21  0.000000  0.000000  0.00000  0.000000  0.000000  1.252763  1.252763
22  0.000000  0.000000  0.00000  0.000000  0.000000  1.945910  0.000000
23  0.000000  0.000000  0.00000  0.000000  0.000000  1.945910  0.000000
24  0.000000  0.000000  0.00000  0.000000  0.000000  1.945910  0.000000
25  0.000000  0.000000  0.00000  0.000000  0.000000  1.945910  0.000000
26  0.000000  0.000000  0.00000  0.000000  0.000000  1.945910  0.000000
27  0.000000  0.000000  0.00000  0.000000  0.000000  1.945910  0.000000
28  0.000000  0.000000  0.00000  0.000000  0.000000  1.945910  0.000000
29  0.000000  0.000000  0.00000  0.000000  0.000000  0.000000  1.945910
30  0.000000  0.000000  0.00000  0.000000  0.000000  0.000000  1.945910
31  0.000000  0.000000  0.00000  0.000000  0.000000  0.000000  1.945910
32  0.000000  0.000000  0.00000  0.000000  0.000000  0.000000  1.945910
33  0.000000  0.000000  0.00000  0.000000  0.000000  0.000000  1.945910
